timestamp,gpu_temp_c,gpu_power_w,gpu_power_instant_w,gpu_util_pct,gpu_mem_util_pct,gpu_clock_mhz,gpu_vid_clock_mhz,gpu_sm_clock_mhz,gpu_tlimit_c,gpu_pstate,gpu_throttle_reasons,gpu_hw_thermal_throttle,gpu_hw_slowdown,gpu_sw_power_cap,thermal_zone0_c,thermal_zone1_c,thermal_zone2_c,thermal_zone3_c,thermal_zone4_c,thermal_zone5_c,thermal_zone6_c,fan_state,fan_power_uw,nvme_temp_c,nvme_temp_alarm,nic0_temp_c,nic1_temp_c,nic2_temp_c,nic3_temp_c,wifi_temp_c,cpu_big_avg_mhz,cpu_little_avg_mhz,mem_used_kb,mem_available_kb,load_avg_1m,psi_cpu_avg10,psi_mem_some_avg10,psi_mem_full_avg10,psi_io_some_avg10,nvme_read_ios,nvme_write_ios,nvme_read_sectors,nvme_write_sectors,nvme_io_in_progress,pgmajfault
2026-03-28T13:01:40-07:00,45,4.49,4.72,0,0,214,598,214,51,P8,0x0000000000000000,0,0,0,52.4,48.0,52.4,47.2,48.4,46.8,49.4,2,5000,45.8,0,49.0,49.0,49.0,49.0,47.0,3900,2808,7664228,117778640,0.51,0.00,0.00,0.00,0.00,43816,657379,4289872,150117034,0,10609
2026-03-28T13:01:42-07:00,45,4.60,4.78,0,0,214,598,214,51,P8,0x0000000000000000,0,0,0,55.7,48.5,48.7,48.1,55.7,46.8,48.1,2,5000,45.8,0,49.0,49.0,49.0,49.0,47.0,3900,2808,7874812,117568056,0.51,0.00,0.00,0.00,0.00,43816,657425,4289872,150119170,0,10609
2026-03-28T13:01:43-07:00,45,4.54,4.27,0,0,214,598,214,51,P8,0x0000000000000000,0,0,0,52.0,48.1,48.2,47.5,52.0,46.8,47.6,2,5000,45.8,0,49.0,49.0,49.0,49.0,47.0,3900,2808,8030472,117412396,0.51,0.00,0.00,0.00,0.00,43816,657425,4289872,150119170,0,10609
2026-03-28T13:01:44-07:00,45,4.54,4.47,0,0,240,617,240,51,P8,0x0000000000000000,0,0,0,51.5,48.1,47.9,47.4,51.5,46.8,47.7,2,5000,45.8,0,49.0,49.0,49.0,49.0,47.0,3900,2808,8277368,117165500,0.55,0.00,0.00,0.00,0.18,43816,657426,4289872,150119178,0,10609
2026-03-28T13:01:45-07:00,46,11.77,12.60,3,0,240,617,240,50,P0,0x0000000000000000,0,0,0,55.9,48.3,47.9,47.6,55.9,47.4,47.7,2,5000,45.8,0,49.0,49.0,49.0,49.0,47.0,3900,2808,10618084,114824784,0.55,0.00,0.00,0.00,0.14,43816,657439,4289872,150119546,0,10609
2026-03-28T13:01:46-07:00,46,11.68,11.89,2,0,240,617,240,50,P0,0x0000000000000000,0,0,0,57.8,48.1,47.9,47.8,57.8,47.6,47.7,2,5000,45.8,0,49.0,49.0,49.0,49.0,47.0,3900,2808,10827064,114615804,0.55,0.00,0.00,0.00,0.14,43816,657439,4289872,150119546,0,10609
2026-03-28T13:01:47-07:00,46,11.67,11.88,1,0,2405,2067,2405,50,P0,0x0000000000000000,0,0,0,58.4,48.4,47.8,47.9,58.4,47.7,47.7,2,5000,45.8,0,49.0,49.0,49.0,49.0,0.0,3900,2808,11024868,114418000,0.55,0.18,0.00,0.00,0.12,43816,657439,4289872,150119546,0,10609
2026-03-28T13:01:49-07:00,46,11.95,11.76,2,0,2405,2067,2405,50,P0,0x0000000000000000,0,0,0,58.5,48.6,48.0,48.3,58.5,47.7,47.7,2,5000,45.8,0,49.0,49.0,49.0,49.0,47.0,3900,2808,11265444,114177424,0.59,0.18,0.00,0.00,0.12,43816,657463,4289872,150120714,0,10609
2026-03-28T13:01:50-07:00,46,11.71,11.90,1,0,2405,2067,2405,50,P0,0x0000000000000000,0,0,0,58.6,48.7,48.0,48.2,58.6,47.7,47.7,2,5000,45.8,0,49.0,49.0,49.0,49.0,47.0,3900,2808,11484032,113958836,0.59,0.14,0.00,0.00,0.09,43816,657535,4289872,150121770,0,10609
2026-03-28T13:01:51-07:00,46,11.72,11.96,1,0,2405,2067,2405,50,P0,0x0000000000000000,0,0,0,58.6,48.7,48.0,48.3,58.6,47.7,47.7,2,5000,44.8,0,49.0,49.0,49.0,49.0,47.0,3900,2808,11669712,113773156,0.59,0.12,0.00,0.00,0.08,43816,657535,4289872,150121770,0,10609
2026-03-28T13:01:52-07:00,46,11.73,12.05,1,0,2405,2067,2405,50,P0,0x0000000000000000,0,0,0,58.7,48.8,48.0,48.2,58.7,47.7,47.7,2,5000,45.8,0,49.0,49.0,49.0,49.0,47.0,3900,2808,11863344,113579524,0.59,0.12,0.00,0.00,0.08,43816,657547,4289872,150122026,0,10609
2026-03-28T13:01:53-07:00,46,11.70,11.77,1,0,2405,2067,2405,50,P0,0x0000000000000000,0,0,0,58.7,48.8,48.1,48.4,58.7,47.7,47.7,2,5000,45.8,0,49.0,49.0,49.0,49.0,47.0,3900,2808,12067804,113375064,0.70,0.09,0.00,0.00,0.06,43816,657547,4289872,150122026,0,10609
2026-03-28T13:01:55-07:00,46,11.72,12.01,1,0,2405,2067,2405,50,P0,0x0000000000000000,0,0,0,58.7,48.7,48.2,48.3,58.7,47.9,47.7,2,5000,45.8,0,49.0,49.0,49.0,49.0,47.0,3900,2808,12251768,113191100,0.70,0.09,0.00,0.00,0.06,43816,657547,4289872,150122026,0,10609
2026-03-28T13:01:56-07:00,46,11.71,11.98,2,0,2405,2067,2405,50,P0,0x0000000000000000,0,0,0,58.8,48.8,48.1,48.5,58.8,47.8,47.7,2,5000,45.8,0,49.0,49.0,49.0,49.0,47.0,3900,2808,12420848,113022020,0.70,0.08,0.00,0.00,0.05,43816,657547,4289872,150122026,0,10609
2026-03-28T13:01:57-07:00,46,11.72,11.74,1,0,2405,2067,2405,50,P0,0x0000000000000000,0,0,0,58.8,48.8,48.4,48.4,58.8,47.9,47.7,2,5000,45.8,0,49.0,49.0,49.0,49.0,47.0,3900,2808,12762584,112680284,0.70,0.06,0.00,0.00,0.04,43816,657547,4289872,150122026,0,10609
2026-03-28T13:01:58-07:00,46,11.73,11.70,1,0,2405,2067,2405,50,P0,0x0000000000000000,0,0,0,58.8,48.8,48.5,48.6,58.8,48.0,47.7,2,5000,45.8,0,49.0,49.0,49.0,49.0,47.0,3900,2808,13141644,112301224,0.72,0.06,0.00,0.00,0.04,43816,657561,4289872,150122306,0,10609
2026-03-28T13:01:59-07:00,46,11.75,12.30,1,0,2405,2067,2405,50,P0,0x0000000000000000,0,0,0,59.0,48.8,48.7,48.7,59.0,48.2,47.8,2,5000,44.8,0,49.0,49.0,49.0,49.0,47.0,3900,2808,13551528,111891340,0.72,0.05,0.00,0.00,0.03,43816,657561,4289872,150122306,0,10609
2026-03-28T13:02:00-07:00,46,11.76,12.16,2,0,2405,2067,2405,50,P0,0x0000000000000000,0,0,0,59.0,48.9,48.9,48.7,59.0,48.5,47.9,2,5000,44.8,0,49.0,49.0,49.0,49.0,47.0,3900,2808,13921308,111521560,0.72,0.05,0.00,0.00,0.03,43816,657561,4289872,150122306,0,10609
2026-03-28T13:02:02-07:00,46,11.74,12.00,2,0,2405,2067,2405,50,P0,0x0000000000000000,0,0,0,59.0,49.0,48.8,48.7,59.0,48.6,48.5,2,5000,45.8,0,49.0,49.0,49.0,49.0,47.0,3900,2808,14311956,111130912,0.72,0.04,0.00,0.00,0.02,43816,657561,4289872,150122306,0,10609
2026-03-28T13:02:03-07:00,46,11.74,11.73,1,0,2405,2067,2405,50,P0,0x0000000000000000,0,0,0,59.4,49.0,48.9,48.7,59.4,48.7,48.7,2,5000,45.8,0,49.0,49.0,49.0,49.0,47.0,3900,2808,14746352,110696516,0.72,0.03,0.00,0.00,0.02,43816,657563,4289872,150122418,0,10609
2026-03-28T13:02:04-07:00,46,11.78,11.90,1,0,2405,2067,2405,50,P0,0x0000000000000000,0,0,0,59.5,48.9,48.9,48.7,59.5,48.7,48.7,2,5000,45.8,0,49.0,49.0,49.0,49.0,47.0,3900,2808,15100080,110342788,0.83,0.03,0.00,0.00,0.02,43816,657576,4289872,150122642,0,10609
2026-03-28T13:02:05-07:00,46,11.78,11.73,1,0,2405,2067,2405,50,P0,0x0000000000000000,0,0,0,59.5,48.9,49.1,48.8,59.5,48.7,48.7,2,5000,45.8,0,49.0,49.0,49.0,49.0,47.0,3900,2808,15540800,109902068,0.83,0.02,0.00,0.00,0.01,43816,657578,4289872,150122738,0,10609
2026-03-28T13:02:06-07:00,46,11.77,11.71,1,0,2405,2067,2405,50,P0,0x0000000000000000,0,0,0,59.5,49.0,48.9,48.8,59.4,48.7,48.7,2,5000,44.8,0,49.0,49.0,49.0,49.0,47.0,3900,2808,15933296,109509572,0.83,0.02,0.00,0.00,0.01,43816,657578,4289872,150122738,0,10609
2026-03-28T13:02:08-07:00,46,11.76,11.90,1,0,2405,2067,2405,49,P0,0x0000000000000000,0,0,0,59.5,48.9,48.9,48.8,59.5,48.7,48.7,2,5000,44.8,0,49.0,49.0,49.0,49.0,47.0,3900,2808,16375856,109067012,0.83,0.02,0.00,0.00,0.01,43816,657578,4289872,150122738,0,10609
2026-03-28T13:02:09-07:00,46,11.75,11.79,2,0,2405,2067,2405,50,P0,0x0000000000000000,0,0,0,59.4,48.9,48.9,48.8,59.4,48.7,48.7,2,5000,44.8,0,49.0,49.0,49.0,49.0,47.0,3900,2808,16708588,108734280,0.84,0.01,0.00,0.00,0.01,43816,657592,4289872,150123026,0,10609
2026-03-28T13:02:10-07:00,46,11.77,12.18,1,0,2405,2067,2405,49,P0,0x0000000000000000,0,0,0,59.5,48.9,48.9,48.8,59.5,48.7,48.7,2,5000,44.8,0,49.0,49.0,49.0,49.0,47.0,3900,2808,17087372,108355496,0.84,0.01,0.00,0.00,0.01,43816,657592,4289872,150123026,0,10609
2026-03-28T13:02:11-07:00,46,11.81,12.02,1,0,2405,2067,2405,49,P0,0x0000000000000000,0,0,0,59.5,49.0,48.9,48.9,59.5,48.7,48.7,2,5000,44.8,0,49.0,49.0,49.0,49.0,47.0,3900,2808,17491420,107951448,0.84,0.01,0.00,0.00,0.00,43816,657592,4289872,150123026,0,10609
2026-03-28T13:02:12-07:00,46,11.78,11.74,1,0,2405,2067,2405,50,P0,0x0000000000000000,0,0,0,59.5,49.0,49.0,48.9,59.5,48.7,48.7,2,5000,44.8,0,49.0,49.0,49.0,49.0,47.0,3900,2808,17903540,107539328,0.84,0.01,0.00,0.00,0.00,43816,657592,4289872,150123026,0,10609
2026-03-28T13:02:14-07:00,47,11.81,11.98,1,0,2405,2067,2405,49,P0,0x0000000000000000,0,0,0,59.6,49.1,49.0,48.9,59.6,48.7,48.7,2,5000,44.8,0,49.0,49.0,49.0,49.0,47.0,3900,2808,18306748,107136120,0.85,0.01,0.00,0.00,0.00,43816,657605,4289872,150123354,0,10609
2026-03-28T13:02:15-07:00,47,11.79,11.83,1,0,2405,2067,2405,49,P0,0x0000000000000000,0,0,0,59.4,49.1,48.9,48.9,59.4,48.7,48.7,2,5000,44.8,0,49.0,49.0,49.0,49.0,49.0,3900,2808,18689292,106753576,0.85,0.01,0.00,0.00,0.00,43816,657605,4289872,150123354,0,10609
2026-03-28T13:02:16-07:00,47,11.82,12.19,1,0,2405,2067,2405,49,P0,0x0000000000000000,0,0,0,59.5,49.0,48.9,48.9,59.5,48.7,48.7,2,5000,44.8,0,49.0,49.0,49.0,49.0,47.0,3900,2808,19068976,106373892,0.85,0.00,0.00,0.00,0.00,43816,657605,4289872,150123354,0,10609
2026-03-28T13:02:17-07:00,47,11.79,11.79,1,0,2405,2067,2405,49,P0,0x0000000000000000,0,0,0,59.5,49.0,48.8,48.9,59.5,48.7,48.7,2,5000,44.8,0,49.0,49.0,49.0,49.0,47.0,3900,2808,19415460,106027408,0.85,0.18,0.00,0.00,0.00,43816,657605,4289872,150123354,0,10609
2026-03-28T13:02:18-07:00,47,11.81,11.89,1,0,2405,2067,2405,49,P0,0x0000000000000000,0,0,0,59.6,49.1,48.9,48.9,59.6,48.7,48.7,2,5000,44.8,0,49.0,49.0,49.0,49.0,47.0,3900,2808,19817188,105625680,0.87,0.18,0.00,0.00,0.00,43816,657619,4289872,150123634,0,10609
2026-03-28T13:02:19-07:00,47,11.81,12.09,1,0,2405,2067,2405,49,P0,0x0000000000000000,0,0,0,59.5,49.3,49.0,48.9,59.5,48.7,48.7,2,5000,44.8,0,49.0,49.0,49.0,49.0,47.0,3900,2808,20217804,105225064,0.87,0.33,0.00,0.00,0.00,43816,657619,4289872,150123634,0,10609
2026-03-28T13:02:21-07:00,47,11.79,12.00,1,0,2405,2067,2405,49,P0,0x0000000000000000,0,0,0,59.5,49.3,48.9,49.0,59.5,48.7,48.7,2,5000,44.8,0,49.0,49.0,49.0,49.0,0.0,3900,2808,20641228,104801640,0.87,0.33,0.00,0.00,0.00,43816,657619,4289872,150123634,0,10609
2026-03-28T13:02:22-07:00,47,11.80,12.14,1,0,2405,2067,2405,49,P0,0x0000000000000000,0,0,0,59.5,49.5,48.8,49.0,59.5,48.7,48.7,2,5000,44.8,0,49.0,49.0,49.0,49.0,45.0,3900,2808,21028152,104414716,0.87,0.45,0.00,0.00,0.00,43816,657619,4289872,150123634,0,10609
2026-03-28T13:02:23-07:00,47,11.81,11.88,1,0,2405,2067,2405,49,P0,0x0000000000000000,0,0,0,59.6,49.5,48.9,49.0,59.6,48.7,48.7,2,5000,44.8,0,49.0,49.0,49.0,49.0,47.0,3900,2808,21458540,103984328,0.96,0.55,0.00,0.00,0.00,43816,657619,4289872,150123634,0,10609
2026-03-28T13:02:24-07:00,47,11.80,11.80,1,0,2405,2067,2405,49,P0,0x0000000000000000,0,0,0,59.6,49.4,48.9,48.9,59.6,48.7,48.7,2,5000,44.8,0,49.0,49.0,49.0,49.0,47.0,3900,2808,21835968,103606900,0.96,0.55,0.00,0.00,0.00,43816,657631,4289872,150123826,0,10609
2026-03-28T13:02:25-07:00,47,11.81,12.78,1,0,2405,2067,2405,49,P0,0x0000000000000000,0,0,0,59.6,49.6,48.9,49.0,59.6,48.7,48.7,2,5000,44.8,0,49.0,49.0,49.0,49.0,47.0,3900,2808,22272648,103170220,0.96,0.63,0.00,0.00,0.00,43816,657643,4289872,150123938,0,10609
2026-03-28T13:02:27-07:00,47,11.81,12.00,1,0,2405,2067,2405,49,P0,0x0000000000000000,0,0,0,59.7,49.6,48.9,49.0,59.7,48.7,48.7,2,5000,44.8,0,49.0,49.0,49.0,49.0,47.0,3900,2808,22584552,102858316,0.96,0.63,0.00,0.00,0.00,43816,657643,4289872,150123938,0,10609
2026-03-28T13:02:28-07:00,47,11.84,12.13,2,0,2405,2067,2405,49,P0,0x0000000000000000,0,0,0,59.7,49.7,48.9,49.0,59.7,48.7,48.7,2,5000,44.8,0,49.0,49.0,49.0,49.0,47.0,3900,2808,22975120,102467748,0.96,0.70,0.00,0.00,0.00,43816,657643,4289872,150123938,0,10609
2026-03-28T13:02:29-07:00,47,11.85,11.94,1,0,2405,2067,2405,49,P0,0x0000000000000000,0,0,0,59.7,49.7,49.1,49.0,59.7,48.7,48.7,2,5000,44.8,0,49.0,49.0,49.0,49.0,0.0,3900,2808,23380572,102062296,0.96,0.57,0.00,0.00,0.00,43816,657655,4289872,150124138,0,10609
2026-03-28T13:02:30-07:00,47,11.83,12.23,1,0,2405,2067,2405,49,P0,0x0000000000000000,0,0,0,59.6,49.7,49.0,49.1,59.6,48.7,48.7,2,5000,44.8,0,49.0,49.0,49.0,49.0,0.0,3900,2808,23795440,101647428,0.96,0.57,0.00,0.00,0.00,43816,657655,4289872,150124138,0,10609
